YEAR_R,FULL_NAME,PROV_CODE,PROVINCE_N,PRODUCT,HARVEST_AREA
2018,กุ้งขาวแวนนาไม,93,พัทลุง,1349,2176
2018,กุ้งขาวแวนนาไม,90,สงขลา,17145,1930
2018,กุ้งขาวแวนนาไม,91,สตูล,8123,1686
2018,กุ้งขาวแวนนาไม,94,ปัตตานี,2971,1979
2018,กุ้งขาวแวนนาไม,96,นราธิวาส,375,1638
2018,กุ้งกุลาดำ,24,ฉะเชิงเทรา,268,805
2018,กุ้งกุลาดำ,22,จันทบุรี,183,1605
2018,กุ้งกุลาดำ,23,ตราด,43,1132
2018,กุ้งกุลาดำ,21,ระยอง,95,1357
2018,กุ้งกุลาดำ,74,สมุทรสาคร,11,1375
2018,กุ้งกุลาดำ,76,เพชรบุรี,88,1313
2018,กุ้งกุลาดำ,77,ประจวบคีรีขันธ์,764,1340
2018,กุ้งกุลาดำ,86,ชุมพร,1112,1113
2018,กุ้งกุลาดำ,85,ระนอง,974,1358
2018,กุ้งกุลาดำ,84,สุราษฎร์ธานี,732,1485
2018,กุ้งกุลาดำ,82,พังงา,2808,1410
2018,กุ้งกุลาดำ,83,ภูเก็ต,1049,1509
2018,กุ้งกุลาดำ,81,กระบี่,2756,1149
2018,กุ้งกุลาดำ,92,ตรัง,878,1407
2018,กุ้งกุลาดำ,80,นครศรีธรรมราช,124,1192
2018,กุ้งกุลาดำ,93,พัทลุง,15,1364
2018,กุ้งกุลาดำ,90,สงขลา,576,970
2018,กุ้งกุลาดำ,91,สตูล,1214,1744
2018,กุ้งกุลาดำ,94,ปัตตานี,152,822
2018,กุ้งกุลาดำ,96,นราธิวาส,4,1000
2019,กุ้งขาวแวนนาไม,25,ปราจีนบุรี,8718,571
2019,กุ้งขาวแวนนาไม,24,ฉะเชิงเทรา,27767,1196
2019,กุ้งขาวแวนนาไม,22,จันทบุรี,29499,1653
2019,กุ้งขาวแวนนาไม,23,ตราด,21859,2985
2019,กุ้งขาวแวนนาไม,21,ระยอง,10102,1638
2019,กุ้งขาวแวนนาไม,20,ชลบุรี,1448,611
2019,กุ้งขาวแวนนาไม,11,สมุทรปราการ,3338,584
2019,กุ้งขาวแวนนาไม,74,สมุทรสาคร,10480,1144
2019,กุ้งขาวแวนนาไม,75,สมุทรสงคราม,2884,1428
2019,กุ้งขาวแวนนาไม,76,เพชรบุรี,10005,1608
2019,กุ้งขาวแวนนาไม,77,ประจวบคีรีขันธ์,25918,2862
2019,กุ้งขาวแวนนาไม,86,ชุมพร,13463,2219
2019,กุ้งขาวแวนนาไม,85,ระนอง,8210,3103
2019,กุ้งขาวแวนนาไม,84,สุราษฎร์ธานี,39419,2407
2019,กุ้งขาวแวนนาไม,82,พังงา,11183,2478
2019,กุ้งขาวแวนนาไม,83,ภูเก็ต,1730,1528
2019,กุ้งขาวแวนนาไม,81,กระบี่,10740,2114
2019,กุ้งขาวแวนนาไม,92,ตรัง,20971,3048
2019,กุ้งขาวแวนนาไม,80,นครศรีธรรมราช,28244,1779
2019,กุ้งขาวแวนนาไม,93,พัทลุง,1576,2268
2019,กุ้งขาวแวนนาไม,90,สงขลา,16092,1920
2019,กุ้งขาวแวนนาไม,91,สตูล,7624,1701
2019,กุ้งขาวแวนนาไม,94,ปัตตานี,2860,1943
2019,กุ้งขาวแวนนาไม,96,นราธิวาส,371,1995
2019,กุ้งกุลาดำ,24,ฉะเชิงเทรา ,251,1045
2019,กุ้งกุลาดำ,22,จันทบุรี,909,1623
2019,กุ้งกุลาดำ,23,ตราด,29,1067
2019,กุ้งกุลาดำ,21,ระยอง,74,1290
2019,กุ้งกุลาดำ,75,สมุทรสงคราม,34,1454
2019,กุ้งกุลาดำ,76,เพชรบุรี,31,981
2019,กุ้งกุลาดำ,77,ประจวบคีรีขันธ์,1084,1441
2019,กุ้งกุลาดำ,86,ชุมพร ,1238,1171
2019,กุ้งกุลาดำ,85,ระนอง,550,1262
2019,กุ้งกุลาดำ,84,สุราษฎร์ธานี ,819,1600
2019,กุ้งกุลาดำ,82,พังงา ,2870,1330
2019,กุ้งกุลาดำ,83,ภูเก็ต,1496,1710
2019,กุ้งกุลาดำ,81,กระบี่,3032,1258
2019,กุ้งกุลาดำ,92,ตรัง,922,1418
2019,กุ้งกุลาดำ,80,นครศรีธรรมราช ,114,1206
2019,กุ้งกุลาดำ,93,พัทลุง,24,1412
2019,กุ้งกุลาดำ,90,สงขลา ,838,1254
2019,กุ้งกุลาดำ,91,สตูล,850,1595
2019,กุ้งกุลาดำ,94,ปัตตานี,79,1274
2019,กุ้งกุลาดำ,96,นราธิวาส,3,1000
2020,กุ้งขาวแวนนาไม,25,ปราจีนบุรี,8088,525
2020,กุ้งขาวแวนนาไม,24,ฉะเชิงเทรา,23545,987
2020,กุ้งขาวแวนนาไม,22,จันทบุรี,25707,1537
2020,กุ้งขาวแวนนาไม,23,ตราด,20030,2801
2020,กุ้งขาวแวนนาไม,21,ระยอง,9228,1719
2020,กุ้งขาวแวนนาไม,20,ชลบุรี,1923,565
2020,กุ้งขาวแวนนาไม,11,สมุทรปราการ,7564,521
2020,กุ้งขาวแวนนาไม,10,กรุงเทพมหานคร,81,159
2020,กุ้งขาวแวนนาไม,74,สมุทรสาคร,11349,1058
2020,กุ้งขาวแวนนาไม,75,สมุทรสงคราม,3067,1364
2020,กุ้งขาวแวนนาไม,76,เพชรบุรี,12135,1302
2020,กุ้งขาวแวนนาไม,77,ประจวบคีรีขันธ์,26538,2901
2020,กุ้งขาวแวนนาไม,86,ชุมพร,13188,2477
2020,กุ้งขาวแวนนาไม,85,ระนอง,9006,3357
2020,กุ้งขาวแวนนาไม,84,สุราษฎร์ธานี,40361,2497
2020,กุ้งขาวแวนนาไม,82,พังงา,12608,2667
2020,กุ้งขาวแวนนาไม,83,ภูเก็ต,1821,1694
2020,กุ้งขาวแวนนาไม,81,กระบี่,11267,2180
2020,กุ้งขาวแวนนาไม,80,นครศรีธรรมราช,27317,1715
2020,กุ้งขาวแวนนาไม,92,ตรัง,21516,3180
2020,กุ้งขาวแวนนาไม,93,พัทลุง,1493,2026
2020,กุ้งขาวแวนนาไม,90,สงขลา,15412,1991
2020,กุ้งขาวแวนนาไม,91,สตูล,7432,1754
